"Riera","Codi_HOBO","Latitud","Longitud","ID","DtoU","Un_NonW_con","Un_NonW_Ocl","Un_NonW_Acl","Un_NonW_Bet"
"1","C","MECCR9",41653218,2072647,"C",1,9.174,0.444,0.46,0
"2","C","MECCR8",41653537,2068792,"C",2,10.77,0.473,0.473,0
"3","C","MECCP7",41653692,2069290,"C",3,10.77,0.473,0.473,0
"4","C","MECCR6",41654248,2068320,"C",4,9.338,0.446,0.461,0
"5","C","MECCP5",41654308,2068417,"C",5,10.77,0.473,0.473,0
"6","C","CA7",41653000,2065000,"C",6,7.213,0.401,0.431,0
"7","C","CA6",41653000,2065001,"C",7,8.615,0.433,0.454,0
"8","C","CA5",41653000,2066000,"C",8,7.262,0.403,0.433,0
"9","C","CA12",41652000,2062000,"C",9,8.662,0.425,0.443,0
"10","C","CA11",41652000,2062001,"C",10,10.77,0.473,0.473,0
"11","C","CA4",41652000,2061000,"C",11,7.402,0.405,0.434,0
"12","C","CA15",41651000,2059998,"C",12,10.77,0.473,0.473,0
"13","C","CA14",41651000,2060001,"C",13,4.945,0.331,0.373,0
"14","C","CA3",41651000,2060002,"C",14,10.77,0.473,0.473,0
"15","C","CA2",41651000,2060000,"C",15,9.57,0.448,0.458,0
"16","M","MECMP2",41694288,1988722,"M",1,1.586,0.367,0.482,0
"17","M","MECMR3",41694558,1987920,"M",2,2.653,0.546,0.588,0
"18","M","MU4",41695000,1986001,"M",3,3.192,0.635,0.636,0
"19","M","MU8",41696000,1985001.5,"M",4,3.196,0.636,0.636,0
"20","M","MU9",41696000,1984998.5,"M",5,3.192,0.635,0.636,0
"21","R","MECRP12",41630738,1935417,"R",1,1.174,0.673,0.678,0
"22","R","MECRP10",41630940,1935158,"R",2,1.072,0.537,0.661,0
"23","R","MECRP6",41631823,1933943,"R",3,0.998,0.501,0.649,0
"24","SA","MECSP11",41620913,1913022,"SA",1,7.577,0.552,0.552,0
"25","SA","MECSR10",41620702,1912897,"SA",2,5.14,0.44,0.478,0
"26","SA","MECSP9",41620672,1912892,"SA",3,7.591,0.552,0.553,0
"27","SA","MECSR8",41620255,1912333,"SA",4,5.163,0.439,0.476,0
"28","SA","MECSP7",41619988,1912018,"SA",5,7.38,0.542,0.545,0
"29","SA","MECSP5",41620465,1909950,"SA",6,7.577,0.552,0.552,0
"30","SA","MECSR4",41620477,1909908,"SA",7,7.382,0.543,0.546,0
"31","SA","MECSP3",41619435,1908955,"SA",8,7.597,0.553,0.553,0
"32","SA","MECSP2",41619562,1908800,"SA",9,7.597,0.553,0.553,0
"33","SA","MECSR1",41620058,1908955,"SA",10,3.749,0.356,0.412,0
"34","SC","MECSCP1",41695615,1892313,"SC",1,2.814,0.178,0.217,0
"35","SC","MECSCR2",41695703,1892218,"SC",2,3.32,0.184,0.233,0
"36","SC","MECSCP3",41695902,1892112,"SC",3,3.316,0.192,0.232,0
"37","SC","MECSCR4",41696380,1891908,"SC",4,2.703,0.18,0.218,0
"38","SC","MECSCR5",41696653,1891595,"SC",5,1.881,0.131,0.201,0
"39","SC","MECSCP6",41696293,1890620,"SC",6,2.232,0.138,0.2,0
"40","SC","MECSCR7",41696412,1889827,"SC",7,2.195,0.146,0.213,0
"41","SC","MECSCP10",41696925,1885465,"SC",8,1.967,0.135,0.205,0
"42","SC","MECSCR11",41697135,1884803,"SC",9,3.193,0.18,0.23,0
"43","SC","MECSCP12",41697392,1883818,"SC",10,3.365,0.186,0.233,0
"44","SC","MECSCP13",41698053,1883010,"SC",11,3.689,0.204,0.237,0
"45","T","MECTP8",41737200,1984032,"T",1,6.982,0.435,0.448,0
"46","T","MECTP9",41737260,1983757,"T",2,7.256,0.443,0.452,0
"47","T","MECTR7",41737260,1983756,"T",3,6.162,0.411,0.436,0
"48","T","MECTR10",41738010,1983185,"T",4,4.623,0.364,0.41,0
"49","T","MECTR6",41738338,1982688,"T",5,5.949,0.403,0.428,0
"50","T","MECTP5",41738338,1982689,"T",6,5.729,0.399,0.433,0
"51","T","MECTR4",41739000,1982445,"T",7,5.16,0.379,0.418,0
"52","T","MECTP3",41739375,1982355,"T",8,5.775,0.4,0.433,0
"53","T","MECTR2",41739627,1982025,"T",9,4.273,0.338,0.386,0
"54","T","MECTP14",41739728,1981542,"T",10,7.367,0.449,0.453,0
"55","T","MECTP12",41740022,1981257,"T",11,7.578,0.455,0.456,0
"56","T","MECTR11",41740147,1981228,"T",12,7.42,0.45,0.453,0
"57","VH","MECHP1",41676100,2016936,"VH",1,7.868,0.587,0.588,0
"58","VH","MECHP2",41676370,2018400,"VH",2,6.661,0.533,0.551,0
"59","VH","MECHR3",41676912,2020270,"VH",3,2.905,0.309,0.376,0
"60","VH","MECHR4",41678042,2023948,"VH",4,6.362,0.514,0.536,0
"61","VH","MECHR5",41678685,2027173,"VH",5,7.868,0.587,0.588,0
"62","VH","MECHR6",41677357,2029443,"VH",6,7.868,0.587,0.588,0
"63","VH","MECHP7",41677352,2029427,"VH",7,7.868,0.587,0.588,0
"64","VH","MECHR8",41676292,2031330,"VH",8,7.868,0.587,0.588,0
"65","VH","MECHP9",41675630,2031887,"VH",9,7.868,0.587,0.588,0
"66","VH","MECHP10",41673252,2034440,"VH",10,7.868,0.587,0.588,0
